,tavg,tmin,tmax,prcp,wspd,tsun,OrganizationalUnitID,Year,Month,latitude,longitude,city
0,4.6,1.4,7.8,25.0,6.0,4260.0,16,2020.0,1.0,41.6528,-4.7236,Valladolid
1,9.6,3.8,15.4,2.0,5.9,9960.0,16,2020.0,2.0,41.6528,-4.7236,Valladolid
2,9.9,4.0,15.8,34.0,,12540.0,16,2020.0,3.0,41.6528,-4.7236,Valladolid
3,12.0,6.4,17.5,0.3,15.8,14880.0,18,2019.0,2.0,37.6,-0.9819,Cartagena
4,13.5,8.1,18.8,24.0,,13680.0,18,2019.0,3.0,37.6,-0.9819,Cartagena
5,15.6,10.5,20.8,103.0,16.3,12960.0,18,2019.0,4.0,37.6,-0.9819,Cartagena
6,20.0,15.1,24.5,,15.0,19800.0,18,2019.0,5.0,37.6,-0.9819,Cartagena
7,23.3,18.0,27.8,1.0,16.2,21540.0,18,2019.0,6.0,37.6,-0.9819,Cartagena
8,26.4,22.7,30.2,0.5,16.6,20940.0,18,2019.0,7.0,37.6,-0.9819,Cartagena
9,26.2,22.5,29.9,4.0,13.9,19260.0,18,2019.0,8.0,37.6,-0.9819,Cartagena
10,23.9,20.3,27.5,225.0,15.2,13620.0,18,2019.0,9.0,37.6,-0.9819,Cartagena
11,20.1,15.1,25.2,37.0,11.8,15600.0,18,2019.0,10.0,37.6,-0.9819,Cartagena
12,15.4,9.9,20.8,13.0,15.2,13020.0,18,2019.0,11.0,37.6,-0.9819,Cartagena
13,13.7,9.0,18.3,113.0,15.2,10440.0,18,2019.0,12.0,37.6,-0.9819,Cartagena
14,10.8,5.4,16.1,82.0,12.1,11700.0,18,2020.0,1.0,37.6,-0.9819,Cartagena
15,13.9,8.4,19.4,1.0,12.2,13920.0,18,2020.0,2.0,37.6,-0.9819,Cartagena
16,14.9,10.4,19.5,124.0,,11100.0,18,2020.0,3.0,37.6,-0.9819,Cartagena
17,16.5,12.6,20.3,45.0,15.0,14040.0,18,2020.0,4.0,37.6,-0.9819,Cartagena
18,20.2,16.1,24.4,19.0,16.5,19500.0,18,2020.0,5.0,37.6,-0.9819,Cartagena
19,22.8,18.5,27.1,19.0,15.2,21000.0,18,2020.0,6.0,37.6,-0.9819,Cartagena
20,25.8,22.5,29.1,2.0,16.5,21840.0,18,2020.0,7.0,37.6,-0.9819,Cartagena
21,26.4,22.1,30.8,10.0,13.4,19800.0,18,2020.0,8.0,37.6,-0.9819,Cartagena
22,23.8,19.4,28.1,3.0,13.9,15180.0,18,2020.0,9.0,37.6,-0.9819,Cartagena
23,18.2,12.4,24.0,1.0,12.6,15480.0,18,2020.0,10.0,37.6,-0.9819,Cartagena
24,16.3,11.8,20.7,5.0,13.2,11700.0,18,2020.0,11.0,37.6,-0.9819,Cartagena
25,12.0,5.6,18.3,0.5,12.9,12960.0,18,2020.0,12.0,37.6,-0.9819,Cartagena
26,11.0,5.4,16.7,45.0,14.7,12600.0,18,2021.0,1.0,37.6,-0.9819,Cartagena
27,13.5,8.9,18.1,,15.9,9960.0,18,2021.0,2.0,37.6,-0.9819,Cartagena
28,13.2,9.2,17.3,92.0,,11040.0,18,2021.0,3.0,37.6,-0.9819,Cartagena
29,15.9,12.1,19.6,52.0,18.4,11580.0,18,2021.0,4.0,37.6,-0.9819,Cartagena
30,18.9,14.3,23.5,67.0,17.0,18720.0,18,2021.0,5.0,37.6,-0.9819,Cartagena
31,22.4,18.3,26.6,6.0,15.4,18420.0,18,2021.0,6.0,37.6,-0.9819,Cartagena
32,25.4,21.2,29.7,,14.3,21660.0,18,2021.0,7.0,37.6,-0.9819,Cartagena
33,26.6,22.8,30.3,,15.1,17940.0,18,2021.0,8.0,37.6,-0.9819,Cartagena
34,24.5,20.4,28.6,19.0,14.9,14040.0,18,2021.0,9.0,37.6,-0.9819,Cartagena
35,20.0,15.4,24.5,55.0,12.9,14220.0,18,2021.0,10.0,37.6,-0.9819,Cartagena
36,14.5,10.1,19.9,65.0,15.0,,18,2021.0,11.0,37.6,-0.9819,Cartagena
37,13.5,9.3,18.6,1.8,13.5,,18,2021.0,12.0,37.6,-0.9819,Cartagena
38,10.9,6.1,16.3,10.6,14.1,,18,2022.0,1.0,37.6,-0.9819,Cartagena
39,12.6,7.5,18.2,0.6,14.4,,18,2022.0,2.0,37.6,-0.9819,Cartagena
40,14.0,11.0,17.6,222.1,,,18,2022.0,3.0,37.6,-0.9819,Cartagena
